,ids,titles,aggregateLikes,spoonacularScore,healthScore,pricePerServing,readyInMinutes,servings,weightWatcherSmartPoints,veryHealthy,vegetarian,vegan,glutenFree,dairyFree,whole30,calories,fat,saturated_fat,carbs,sugar,cholesterol,sodium,protein
818,204348,Roasted Squash and Raw Carrot Soup,921,100.0,100.0,310.12,120,4,16,True,True,True,True,True,True,588.8,32.19,4.48,73.27,22.84,0.0,444.69,9.13
819,771541,Spanish Baked Salmon,1291,100.0,100.0,471.78,45,6,10,True,False,False,False,True,False,437.76,25.48,3.71,14.88,5.19,93.55,584.78,36.29
820,724161,Healthy Kidney Bean Pasta,352,100.0,67.0,59.43,15,4,10,True,True,True,False,True,False,396.45,4.98,0.74,70.74,5.03,0.0,202.6,17.42
821,757877,New Year’s Black-Eyed Peas and Greens,667,100.0,90.0,73.1,45,6,2,True,True,True,True,True,False,125.18,5.54,0.78,15.56,2.54,0.0,706.59,5.85
822,246555,"Oven-Roasted Salmon, Asparagus and New Potatoes",1227,100.0,100.0,449.79,42,4,7,True,False,False,True,True,True,353.88,14.67,2.16,29.35,5.78,62.37,352.4,27.13
823,262271,The Big Salad,7717,100.0,100.0,267.45,55,3,12,True,True,True,True,True,False,458.71,25.66,2.08,48.69,14.55,0.0,773.25,16.23
824,586773,Crunchy Salmon Salad with Sriracha Dressing,827,100.0,100.0,276.52,20,6,4,True,False,False,True,False,False,232.52,11.9,1.93,15.02,6.46,32.15,300.38,18.74
825,758452,Warm Farro Pilaf with Dried Cranberries,1487,100.0,91.0,183.88,45,6,8,True,True,False,False,True,False,336.39,13.58,1.55,50.03,8.79,0.0,610.9,8.23
826,263218,Salsa Chickpea Lettuce Wraps,639,100.0,100.0,202.54,45,2,12,True,True,True,True,True,False,446.37,6.08,0.67,79.68,22.03,0.0,1251.83,23.76
827,245401,Portobello Mushroom Burger,1565,100.0,100.0,589.15,40,4,6,True,True,False,False,True,False,346.08,8.09,1.32,61.06,27.57,0.42,463.37,15.95
828,696861,Fresh Herb & Lemon Bulgur Pilaf,1104,100.0,63.0,115.93,50,6,8,True,True,False,False,True,False,278.96,12.23,1.52,38.44,4.51,0.0,445.4,8.57
829,620545,Crowd-Pleasing Vegan Caesar Salad,3238,100.0,100.0,131.63,80,5,9,True,False,False,True,True,False,341.25,17.57,2.36,34.64,6.24,0.0,506.4,15.38
830,995821,Meal Plan Day 3: Quinoa & Kale Quesadillas,297,100.0,81.0,324.04,12,2,34,True,True,False,False,False,False,1023.77,69.69,26.79,63.16,7.41,100.57,1460.03,40.34
831,479515,Powerhouse Bulgur Salad with Orange Vinaigrette,1743,100.0,88.0,170.56,30,4,12,True,True,False,False,True,False,435.28,24.29,2.94,53.38,15.15,0.0,325.1,8.29
832,482554,Lemony Lentil Soup with Spinach,2770,100.0,100.0,116.66,60,8,3,True,True,False,True,True,False,161.85,1.71,0.34,28.17,4.74,0.0,261.69,11.26
833,195594,Roasted Brussels Sprouts with Pomegranate Molasses,1244,100.0,92.0,178.26,20,6,7,True,True,True,True,True,True,297.53,22.28,2.54,22.37,8.18,0.0,234.23,8.23
